"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00291","GB0144R","GB0144R","Fenn's Moss 1","Rural Background","North Wales","1996-09-30","","52.923360","-2.761920","336488.23","348872.87","88","UKEAP: National Ammonia Monitoring Network","",""
"UKA00642","GB1084R","","Fenn's, Whixall and Bettisfield Mosses","Rural Background","North Wales","2016-11-04","","52.925380","-2.756233","336708.90","349257.57","88","UKEAP: Precip-Net","",""
"UKA00606","GB1048A","","Fenny Compton","Rural Background","West Midlands","2014-01-01","","52.166980","-1.389850","252254.62","441829.03","115","Heavy Metals","",""
"UKA00971","GB1413A","","Finglandrigg Woods","Rural Background","North West & Merseyside","2023-03-01","","54.901774","-3.138586","556932.68","327085.98","10","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00103","GB0308A","","Flatford Mill","Rural Background","Eastern","1986-01-14","","51.956200","1.026680","232961.76","608065.70","5","UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00607","GB1049A","","Forsinard RSPB","Rural Background","Highland","2014-12-09","","58.359874","-3.893460","942825.64","289309.43","70","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00495","GB0885A","","Fort William","Suburban Background","Highland","2006-06-22","","56.822660","-5.101102","774418.72","210849.73","5","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained unit within the grounds of a sports facility in a residential area. The nearest road is an access road to the sports facilities and hospital and is located approximately 50 metres to the south of the station. The surrounding area is open with residential housing and a body of water to the north of the station.   "
"UKA00335","GB0162R","GB0162R","Fressingfield","Rural Background","Eastern","1997-03-07","","52.333955","1.313997","275822.57","625882.67","53","UKEAP: National Ammonia Monitoring Network","",""
"UKA00593","GB1035A","","Glasgow Great Western Road","Urban Traffic","Glasgow Urban Area","2014-06-05","","55.872038","-4.270936","666651.00","258007.00","","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of Great Western Road, approx. 150 m distant (to the Northwest) of St George's cross underground metro station. The surrounding area comprises residential houses and business and retail outlets, in an urban environment. The M8 motorway is located approx. 360 m to the South. The monitoring station is located approximately 6 metres from the kerb."
"UKA00602","GB1044A","","Glasgow High Street","Urban Traffic","Glasgow Urban Area","2015-01-27","","55.860936","-4.238214","665348.95","260014.08","35","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; UK Urban NO2 Network","","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of High Street, in Glasgow's city centre, opposite Burrell's Lane. The surrounding area comprises residential houses and business and retail outlets, in an urban environment. High street railway station lies approximately 200 meters to the southwest. The monitoring station is located approximately 5.5 metres from the kerb."
"UKA00336","GB0657A","","Glasgow Kerbside","Urban Traffic","Glasgow Urban Area","1997-03-10","","55.858940","-4.259122","665169.39","258698.50","10","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station is within a self-contained, air-conditioned housing located on the pavement of Hope Street adjacent to Glasgow Central Station. The nearest road is subject to frequent congestion during peak traffic flow periods. The surrounding area is built up. The monitoring station is located approximately 1 metre from the kerb."
"UKA00576","GB1028A","","Glasgow Townhead","Urban Background","Glasgow Urban Area","2013-10-07","","55.865782","-4.243631","665899.13","259692.60","40","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; PAH Digitel (solid phase)","","The monitoring station is within an existing brick building located inside a residential area, which lies in the perimeter established by St Mungo's Avenue and Kennedy Street, in Glasgow's city centre. The surrounding area comprises residential houses, gardens and some businesses, in an urban environment. The M8 motorway is situated approximately 360 m to the North."
"UKA00170","GB0034R","GB0034R","Glazebury","Rural Background","North West & Merseyside","1988-04-01","","53.460080","-2.472056","396029.54","368754.53","21","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","The monitoring station is within a self-contained, air conditioned housing located within the grounds of a local farm. The nearest road is access only to the grounds of the farm and is approximately 100 metres from the monitoring station. The nearest trees are at a distance of approximately 3 metres from the station."
"UKA00348","GB0054R","GB0054R","Glensaugh","Rural Background","North East Scotland","1997-05-30","","56.907222","-2.559444","779682.33","366028.50","242","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA01058","GB1500A","","Glenshee Gulabin ","Rural Background","North East Scotland","2024-02-07","","56.814731","-3.459281","770196.99","311011.76","345","UKEAP: National Ammonia Monitoring Network","",""
"UKA00944","GB1386R","","Glenwherry COSMOS","Rural Background","Northern Ireland","2022-04-01","","54.840000","-6.000000","556799.87","143269.33","284","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA01102","GB1544A","","Gloucester Tredworth","Urban Background","South West","2025-04-01","","51.849673","-2.234996","216812.60","383909.70","20","Automatic Urban and Rural Monitoring Network (AURN)","","Grass area on corner of residential road in a housing estate in the Tredworth area of Gloucester."
"UKA00056","GB0003R","GB0003R","Goonhilly","Rural Background","South West","1979-01-01","","50.050611","-5.181545","21570.55","172337.31","108","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00420","GB0735A","","Grangemouth","Urban Industrial","Central Scotland","2001-01-01","","56.010319","-3.704399","681020.65","293829.88","4","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station located within a self contained, air conditioned housing within a public park, next to a residential area. It has an open aspect to a BP petro-chemical complex 300m to the north. The nearest road is approximately 50 metres from the station, and is a residential access road. "
"UKA00544","GB0997A","","Grangemouth Moray","Urban Industrial","Central Scotland","2009-06-01","","56.013142","-3.710833","681344.72","293436.55","4","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained, air conditioned unit within the car park of Moray School, Grangemouth. The closest road is approximately 10 metres away and is a minor road. The surrounding area is generally open with residential dwellings. It has an open aspect to a BP petro-chemical complex 800 metres to the East. "
"UKA00621","GB1062A","","Greenock A8 Roadside","Urban Traffic","Central Scotland","2016-05-04","","55.944079","-4.734421","675714.74","229331.50","9","Automatic Urban and Rural Monitoring Network (AURN)","","Roadside monitoring station beside the A8 (East Hamilton Street), approximately 100 m from the Cartsdyke Roundabout. The monitoring station is located approximately 2 metres from the kerb."
"UKA01037","GB1479A","","Hafod-yr-ynys Hill Roadside","Urban Traffic","South Wales","2023-10-01","","51.680493","-3.133516","198578.50","321726.30","153","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","The monitoring station is within a self-contained air conditioned unit along the road side of A472 Hafod-yr-ynys Road, approximately 100m west of the junction with Gladstone Road and around 250 meters south of Swffryd's town centre. The surrounding area comprises some waste/agricultural lands (to the south). Approximately 380 meters to the southwest, A472 crosses with the A467 The monitoring station is located approximately 3.5 metres from the kerb."
"UKA00260","GB0637A","","Haringey Roadside","Urban Traffic","Greater London Urban Area","1996-05-16","","51.599300","-0.068218","190707.13","533893.52","12","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station is located within a self contained, air conditioned housing on the kerbside on Tottenham High Road near Hampden Lane. The surrounding area is urban in nature with residential dwellings.  The monitoring station is located approximately 7.7 metres from the kerb."
"UKA01093","GB1534A","","Harrogate Woodlands","Urban Background","Yorkshire & Humberside","2025-01-23","","53.993714","-1.511011","455408.00","432156.00","101","Automatic Urban and Rural Monitoring Network (AURN)","","Small grassed area on corner of two residential roads (Fairfax Avenue and Hargrove Road), in a large housing estate in the Woodlands area of Harrogate. Residential surroundings."
"UKA00645","GB1087A","","Hartlepool St Abbs Walk","Urban Background","North East","2017-10-17","","54.683242","-1.203838","532312.00","451429.00","7","Automatic Urban and Rural Monitoring Network (AURN)","","Urban background monitoring station on grass area in housing estate, in a residential area in the eastern part of Hartlepool. We don't have any suitable pictures of this one, the only pictures we have show it surrounded by security fencing. The nearest road is 6m from the site."
"UKA00507","GB0702A","","Hazelrigg","Rural Background","North West & Merseyside","2007-09-18","","54.013644","-2.775402","457792.99","349286.00","98","PAH Digitel (solid phase); TOMPs","",""
"UKA00461","GB0017R","GB0017R","Heigham Holmes","Rural Background","Eastern","2003-08-21","","52.727150","1.614805","320519.20","644178.70","5","Heavy Metals","",""
"UKA00169","GB0014R","GB0014R","High Muffles","Rural Background","Yorkshire & Humberside","1987-07-16","","54.334497","-0.808820","493868.82","477552.31","267","Automatic Urban and Rural Monitoring Network (AURN); PAH Digitel (solid phase); TOMPs; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","","The monitoring station is located within a self-contained, air-conditioned housing located in a clearing in a forest plantation approximately 100 metres from the nearest habitation. The nearest road is a minor rural road approximately 200 metres from the station.  The surrounding area is open and remote."
"UKA00293","GB0138R","GB0138R","Hillsborough","Rural Background","Northern Ireland","1996-09-30","","54.452500","-6.083340","514025.69","135412.69","120","UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00566","GB1017A","","Honiton","Urban Background","South West","2012-06-21","","50.792287","-3.196702","99874.03","315748.63","122","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located on a small recreation ground in a residential area in the south west of the town. Site is approximately 1km south of the A30 bypass and 1.5 km southwest of the A35."
"UKA00511","GB0916A","","Horley","Suburban Industrial","South East","2007-11-21","","51.165865","-0.167734","142330.91","528206.03","57","Automatic Urban and Rural Monitoring Network (AURN); Particle Concentrations and Numbers Network","","The monitoring station is located within a self contained, air conditioned unit in a residential area approximately 1.5 kilometres from the runway at Gatwick. The nearest main road, the A23 Airport Way is over 100 metres from the station, the M23 is approximately 2.5 kilometres east. The surrounding area is open with residential dwellings. "
"UKA00450","GB0776A","","Hull Freetown","Urban Background","Kingston upon Hull","2002-11-06","","53.748780","-0.341222","429322.05","509481.95","4","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self-contained, air conditioning housing located on the northern edge of a car park which is situated on the northern edge of the city centre. The nearest road is approximately 3 metres from the station, this is a access road. The A165 is approximately 45 metres south of the monitoring station. Immediately to the east and west are landscaped areas of shrubs and saplings. To the north is a cul-de-sac with office buildings."
"UKA00600","GB1042A","","Hull Holderness Road","Urban Traffic","Kingston upon Hull","2015-01-01","","53.759013","-0.305678","430515.73","511798.47","4","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of A165 - Holderness Road, in the eastern part of Hull city. Located between Laburnum Avenue and Westcott Street. The surrounding area comprises residential houses and small shops, in an urban environment. A63 major road lies at approximately 1.3 km to the south. The monitoring station is located approximately 3.5 metres from the kerb."
"UKA00647","GB1089A","","Immingham Woodlands Avenue","Urban Background","Yorkshire & Humberside","2017-11-01","","53.619241","-0.213324","415116.00","518277.00","3","Automatic Urban and Rural Monitoring Network (AURN)","","An urban background monitoring station at the junction of Woodlands Avenue and Oaklands Road, in a residential area of Immingham, Humberside. The nearest road, Woodlands Avenue(Residential) is 8.5m from the site."
"UKA00948","GB1390R","","Inch Abbey","Rural Background","Northern Ireland","2022-04-01","","54.340000","-5.730000","500244.16","157642.32","3","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA00637","GB1078R","","Ingleborough","Rural Background","Yorkshire & Humberside","2016-11-01","","54.193454","-2.352220","477578.65","377116.41","374","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00434","GB0742A","","Inverness","Urban Traffic","Highland","2001-07-11","","57.481308","-4.241451","845668.85","265708.85","1","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained, air conditioned housing adjacent to a pathway connecting Telford Street (A862) and Cameron Square Inverness. The surrounding area is predominantly residential with a retail business park 250 metres away. The monitoring station is located approximately 4 metres from the kerb."
"UKA00457","GB1009R","GB0103R","Inverpolly","Rural Background","Highland","2003-02-27","","58.031381","-5.072214","908820.22","218694.91","245","UKEAP: National Ammonia Monitoring Network","",""
"UKA01085","GB1527A","","Kielder Water","Rural Background","North East","2024-12-18","","55.181580","-2.453170","587570.30","371239.80","140","Automatic Urban and Rural Monitoring Network (AURN)","","Rural location near the eastern edge of Kielder Water, Northumberland. Close to the River North Tyne."
"UKA00570","GB1023A","","Kilmakee Leisure Centre","Urban Background","Belfast Metropolitan Urban Area","2012-07-25","","54.543763","-6.008336","523893.04","140850.79","35","Black Carbon; PAH Digitel (solid phase); TOMPs","",""
"UKA00378","GB0705A","","Kinlochleven","Urban Background","Highland","1999-01-01","","56.714447","-4.954345","761983.06","219282.74","40","PAH Digitel (solid phase)","",""
"UKA00171","GB0037R","GB0037R","Ladybower","Rural Background","East Midlands","1988-07-15","","53.403370","-1.752006","389645.10","416585.32","420","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network","","The monitoring station is located within a self-contained, air conditioned housing located in the Peak District National Park approximately 800 metres to the south west of Ladybower reservoir. The nearest road is for access to the nearby farm buildings only, and is approximately 20 metres from the station. The surrounding area is mainly open moor land with the nearest trees occurring within a distance of several hundred metres. "
"UKA00265","GB0643A","","Leamington Spa","Urban Background","West Midlands","1996-07-26","","52.288810","-1.533119","265733.01","431942.76","55","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station is within a self-contained, air conditioned housing located at the rear of a three-storey Regency terrace near the town centre. The nearest road is used for access to the office and public buildings car park located nearby. The nearest urban road is approximately 50 metres from the station and is generally free flowing. There are no trees within 50 metres distance from the monitoring station. The surrounding area is generally built up with commercial and residential properties. "
"UKA00564","GB1018A","","Leamington Spa Rugby Road","Urban Traffic","West Midlands","2012-06-01","","52.294884","-1.542911","266404.37","431270.59","66","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","The monitoring station is located on the roadside of the busy A445 road to Warwick, in a residential part of Leamington Spa adjacent to Stamford Gardens. The station is surrounded by trees. The monitoring station is located approximately 5 metres from the kerb."
"UKA00222","GB0584A","","Leeds Centre","Urban Background","West Yorkshire Urban Area","1993-01-04","","53.803780","-1.546472","434259.97","429966.54","78","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station is located within a self-contained, air-conditioned housing located approximately 30 metres from a busy 4-lane inner-city road, the A660 which is subject to periodic congestion during peak periods. The location is approximately 150 metres from an urban motorway, the A58(M). The surrounding area is generally open and comprises a busy urban setting road network."
"UKA00527","GB0926A","","Leeds Headingley Kerbside","Urban Traffic","West Yorkshire Urban Area","2008-02-17","","53.819972","-1.576361","436049.33","427987.34","85","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","The monitoring Station is located within a self contained, air conditioned housing on the east side of the A660 Headingley Lane. The surrounding area contains residential dwellings and commercial premises. Located between Shire Oak Road and St Michaels Road.  The monitoring station is located approximately 1 metre from the kerb."
"UKA00480","GB0867A","","Leeds Millshaw","Urban Background","West Yorkshire Urban Area","2004-09-30","","53.766109","-1.578622","430055.70","427874.03","48","PAH Digitel (solid phase)","",""
"UKA00609","GB1051A","","Leicester A594 Roadside","Urban Traffic","Leicester Urban Area","2015-06-01","","52.638742","-1.124267","304914.90","459358.37","59","Automatic Urban and Rural Monitoring Network (AURN); UK Urban NO2 Network","","Roadside monitoring station beside the A594 (St Matthews Way), part of Leicester's busy ring road, to the north of the city centre. Located adjacent to Crafton Street East. The monitoring station is located approximately 5 metres from the kerb."
"UKA00573","GB1026A","","Leicester University","Urban Background","Leicester Urban Area","2013-10-01","","52.619904","-1.127182","302817.07","459186.47","83","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within an existing brick building located within the grounds of Leicester University Campus. The nearest road is Welford road, 20m to the west. The surrounding area is mainly open and comprises a park, a university building, a cemetery and a parking lot, all within a 40 meter radius."
"UKA00489","GB0861A","","Leominster","Suburban Background","West Midlands","2005-07-18","","52.221593","-2.736840","258409.88","349761.46","75","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained, air conditioned housing within the school grounds of Minster College on the southern edge of the town. The nearest road is approximately 40 metres from the station, and is a quiet access road. The immediate area is open with the wider environment consisting of residential dwellings.  "
"UKA00486","GB0881A","GB0052R","Lerwick","Rural Background","Highland","1990-01-16","","60.139220","-1.185319","1139689.93","445350.77","80","Automatic Urban and Rural Monitoring Network (AURN); Ozone / UV","","Monitoring site in the instrument compound of the Met Office observatory near Lerwick."
"UKA00561","GB1014A","","Lincoln Canwick Road","Urban Traffic","East Midlands","2011-07-27","","53.221432","-0.534204","370378.15","497963.31","7","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained housing within the grounds of a building supplies retailer. The station is approximately  2 metres for the A15 Canwick Road, a three lane road. The surrounding area comprises of open parkland to the NE, residential housing to the SW and light industry to the north."
"UKA00972","GB1414A","","Lindisfarne","Rural Background","North East","2023-02-28","","55.683470","-1.844022","643324.06","409963.45","5","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00247","GB0777A","","Liverpool Speke","Urban Industrial","Liverpool Urban Area","1995-11-24","","53.346330","-2.844333","383603.18","343887.26","26","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase)","","The monitoring station is within a self-contained, air-conditioned housing located in a corner of school grounds in a residential area of Speke. The nearest road is approximately 10 metres from the inlet, and is a quiet residential road. The A561 is approximately 140 metres from the station. The surrounding are comprises of residential properties and light industry to the north (approximately 200 metres from the station). Liverpool John Lennon Airport is located approximately 900 metres south of the monitoring station."
"UKA01095","GB1537A","","Liverpool Thirlmere Park","Urban Background","Liverpool Urban Area","2025-01-28","","53.424225","-2.960989","392367.00","336238.00","38","Automatic Urban and Rural Monitoring Network (AURN)","",""
"UKA00268","GB0197R","GB0197R","Llyn Llydaw","Rural Background","North Wales","1996-08-27","","53.074525","-4.034731","354968.43","263784.88","490","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00270","GB0118R","GB0118R","Llynclys Common","Rural Background","West Midlands","1996-09-01","","52.805607","-3.077145","323661.17","327484.31","163","UKEAP: National Ammonia Monitoring Network","",""
"UKA00411","GB0189R","GB0189R","Loch Awe","Rural Background","Highland","2000-08-07","","56.252931","-5.285974","711569.61","196536.69","69","UKEAP: National Ammonia Monitoring Network","",""
"UKA00107","GB1373R","GB1373R","Loch Dee","Rural Background","Scottish Borders","1986-01-14","","55.071756","-4.400907","577889.31","246800.68","230","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","",""
"UKA00238","GB0608A","","London Bexley","Suburban Background","Greater London Urban Area","1994-05-01","","51.466030","0.184806","176381.11","551858.96","13","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained, air conditioned housing within an urban background setting. The monitoring station is located approximately 40 metres from the nearest road, Whitenhall Lane, which is a residential road. The surrounding area is generally open and comprises residential dwellings and gardens."
"UKA00211","GB0566A","","London Bloomsbury","Urban Background","Greater London Urban Area","1992-01-23","","51.522290","-0.125889","182039.31","530118.96","20","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","","The monitoring station is within a self-contained, air conditioned housing located within the north-east corner of a central London gardens. The gardens are generally laid to grass with many mature trees. All four sides of the gardens are surrounded by a busy 2 lane one-way road system, which is subject to frequent congestion. The nearest road lies at a distance of approximately 25 metres from the station. The area in the in the vicinity of the manifold is surrounded by small buildings (lower than height of manifold)."
"UKA00059","GB0849A","","London Brent","Urban Background","Greater London Urban Area","1980-01-01","","51.589769","-0.276223","189287.01","519512.96","25","PAH Digitel (solid phase)","","The monitoring station is within an existing building located within the grounds of a local school. The nearest road is approximately 30 metres from the station with an average daily traffic flow of 8,000 vehicles per day. The manifold inlet is approximately 3 metres above ground level. The surrounding area is generally open and comprises school playing grounds and residential dwellings. There are a number of retail and light industrial units located within the vicinity to the east and west of the monitoring station."
"UKA00370","GB0695A","","London Cromwell Road 2","Urban Traffic","Greater London Urban Area","1998-05-20","","51.495483","-0.178709","178965.73","526528.87","20","UKEAP: National Ammonia Monitoring Network","","The monitoring station is within a self-contained, air conditioned housing located in the southwest corner of the front gardens of the Natural History Museum at a traffic light controlled crossroads. The nearest road, the A4 Cromwell Road is approximately 4 metres from the monitoring station. The traffic flow on Cromwell Road is approximately 53,000 vehicles per day. The manifold inlet is approximately 2 metres above roadside due to the fact that the site has sunken gardens. The surrounding area is generally open. Trees occur within 2 metres distance of the monitoring station."
"UKA01104","GB1546A","","London Farringdon Street","Urban Traffic","Greater London Urban Area","2025-05-02","","51.514741","-0.104522","181238.00","531623.00","30","Automatic Urban and Rural Monitoring Network (AURN); Non-Automatic Hydrocarbon Network","",""
"UKA00568","GB1024A","","London Haringey Priory Park South","Urban Background","Greater London Urban Area","2012-10-26","","51.584128","-0.125254","188917.08","529986.75","37","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within the grounds of Priory park. The nearest road is approximately 20 meters from the station and is a quiet residential access road. The station is approximately 150 meters south of the A504 Priory Road. The traffic flow on Priory Road is approximately 27,000 vehicles per day. The manifold inlet is approximately 2.5 meters from the ground."
"UKA00472","GB0837A","","London Harlington","Urban Industrial","Greater London Urban Area","2004-01-01","","51.488790","-0.441614","177800.17","508295.20","35","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is located within a self contained air conditioned housing in the grounds of Imperial College Sports Facility in Harlington, 1 kilometre north of the Heathrow Airport perimeter road. The nearest road is a minor road located approximately 10 metres from the station. The M4 motorway is located approximately 800 metres from the station. The surrounding area is comprised of open fields and residential dwellings. "
"UKA00266","GB0642A","","London Hillingdon","Urban Background","Greater London Urban Area","1996-08-02","","51.496330","-0.460861","178610.41","506941.32","34","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained, air-conditioned housing located on an open grass area approximately 2.5 metres from the kerb of a residential road. The site is bordered on three sides by residential roads and on the fourth by the busy M4 motorway, which is approximately 30 metres from the station and above the height of the inlet. The general area is open and protected from the M4 by trees."
"UKA00656","GB1098A","","London Honor Oak Park","Urban Background","Greater London Urban Area","2018-11-27","","51.449674","-0.037418","174125.19","536472.86","30","Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Particle Size Composition","",""
"UKA00315","GB0682A","","London Marylebone Road","Urban Traffic","Greater London Urban Area","1997-01-01","","51.522530","-0.154611","182015.36","528125.76","35","Automatic Hydrocarbon Network; Automatic Urban and Rural Monitoring Network (AURN); Black Carbon; Heavy Metals; PAH Digitel (solid phase); Particle Concentrations and Numbers Network; UK Urban NO2 Network","","The monitoring station is located in a self contained air conditioned cabin on Marylebone Road opposite Madame Tussauds. The nearest road, the 6 laned A501 is approximately 1 metre from the station. The road is frequently congested. The surrounding area forms a street canyon and comprises of education buildings, tourist attractions, shops and housing."
"UKA00253","GB0620A","","London N. Kensington","Urban Background","Greater London Urban Area","1996-04-01","","51.521050","-0.213419","181749.53","524050.11","24","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","The monitoring station is located within a self contained cabin in the grounds of Sion Manning School. The nearest road, St. Charles Square, is a quiet residential road approximately 5 metres from the station. The surrounding area is mainly residential. The site is part of the London Air Quality Network and is owned and funded by the London Borough of Kensington and Chelsea."
"UKA01100","GB1542A","","London Norbury Manor School","Urban Background","Greater London Urban Area","2025-04-02","","51.410040","-0.127480","169554.00","530327.80","34","Automatic Urban and Rural Monitoring Network (AURN)","","The site is located in the playground of a Primary school in a residential area with playing fields in the surrounding area."
"UKA00572","GB1025A","","London Teddington Bushy Park","Urban Background","Greater London Urban Area","2013-08-09","","51.425286","-0.345606","170884.42","515120.12","11","Automatic Urban and Rural Monitoring Network (AURN); Black Carbon","","Urban background monitoring station in the grounds of NPL on the border of Bushy Park, Teddington. Surrounded by parkland and residential areas."
"UKA00435","GB0743A","","London Westminster","Urban Background","Greater London Urban Area","2001-07-17","","51.494670","-0.131931","178957.15","529778.20","5","Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals","","The monitoring station is located within a self contained housing in the car park of the mortuary and coroner's court. The nearest road is the B323 Horseferry Road approximately 17 metres north of the station. The surrounding area is mixed commercial and residential.  "
"UKA00166","GB0006R","GB0006R","Lough Navar","Rural Background","Northern Ireland","1987-04-02","","54.439510","-7.900328","520945.71","17627.56","130","Automatic Urban and Rural Monitoring Network (AURN); Heavy Metals; UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","","The monitoring station is within an existing building on a clearing near the edge of a semi-mature forest approximately 90 metres from the nearest minor road. The surrounding area is generally open rural landscape with mature tree woodland within 25 metres of the monitoring station."
"UKA01103","GB1545A","","Loughborough Thorpe Acre","Urban Background","East Midlands","2025-05-12","","52.780359","-1.227659","320588.00","452193.00","37","Automatic Urban and Rural Monitoring Network (AURN)","","The site is located in a green space within a residential area, with an industrial estate to the north."
"UKA00951","GB1393R","","Loughmore River","Rural Background","Northern Ireland","2022-04-01","","54.960000","-7.130000","574867.92","71753.09","147","UKEAP: National Ammonia Monitoring Network","","Please note that the location of this site is only reported to 2 decimal places for latitudes and longitude. The location data has a precision of approximately 1 km for latitude and 600 m for longitude."
"UKA01030","GB1472A","","Lower Derwent Valley","Rural Background","Yorkshire & Humberside","2023-04-14","","53.822500","-0.941389","436766.89","469784.83","","UKEAP: National Ammonia Monitoring Network","",""
"UKA00152","GB0038R","GB0038R","Lullington Heath","Rural Background","South East","1986-10-04","","50.793700","0.181250","101615.71","553828.59","125","Automatic Urban and Rural Monitoring Network (AURN); UKEAP: Acid Gases & Aerosol Network; UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net; UKEAP: Rural NO2","","The monitoring station is within a self-contained, air-conditioned housing located on a high plateau surrounded by heath land. The nearest road is approximately 1.5 kilometres distance from the site. The surrounding area is open rural landscape."
"UKA00605","GB1047A","","Luton A505 Roadside","Urban Traffic","Eastern","2015-03-11","","51.892293","-0.462110","222644.00","505927.00","136","Automatic Urban and Rural Monitoring Network (AURN)","","The monitoring station is within a self-contained air conditioned mobile unit along the roadside of Dunstable residential road, approximately 3.2 km North-west of Luton's town centre. Located between Atherstone Road and Leicester Road. The M1 motorway lies 500 meters to the west. The surrounding area comprises residential houses, in an urban environment. The monitoring station is located approximately 3.2 metres from the kerb."
"UKA00397","GB0178R","GB0178R","Lyulphs Tower","Rural Background","North West & Merseyside","1999-07-27","","54.573188","-2.927113","520169.99","340163.03","167","UKEAP: National Ammonia Monitoring Network","",""
"UKA01064","GB1506A","","Maidstone Upper Stone Street","Urban Traffic","South East","2024-12-10","","51.268519","0.526348","155183.00","576337.00","24","Automatic Urban and Rural Monitoring Network (AURN)","","Grass verge beside A229 (Upper Stone Street) through Maidstone, Kent. Mixed commercial, industrial and residential surroundings."
"UKA00974","GB1416A","","Malham Tarn","Rural Background","Yorkshire & Humberside","2023-05-01","","54.099835","-2.163740","467117.05","389389.99","390","UKEAP: National Ammonia Monitoring Network; UKEAP: Precip-Net","",""
"UKA00185","GB0708A","","Manchester Law Courts","Urban Background","Greater Manchester Urban Area","1991-01-01","","53.480800","-2.251980","398260.48","383374.94","36","TOMPs","",""
